Date,Shock,Shock (older version based on specification w/o lags)
01/10/1982,-0.073518774,-0.185835715
01/11/1982,-0.019230766,-0.039496251
01/12/1982,0.07255737,0.189562037
01/01/1983,0,0
01/02/1983,0.031085979,0.07486399
01/03/1983,0.032902841,0.066944401
01/04/1983,0,0
01/05/1983,0.043814987,0.082721382
01/06/1983,0,0
01/07/1983,0.048890926,0.114687624
01/08/1983,-0.056729742,-0.141329885
01/09/1983,0,0
01/10/1983,-0.02028149,-0.022162216
01/11/1983,-0.022799567,-0.095372683
01/12/1983,0.012872538,0.03186343
01/01/1984,-0.019741327,-0.058984667
01/02/1984,0,0
01/03/1984,0.040233222,0.027371659
01/04/1984,0,0
01/05/1984,-0.041034854,-0.050969987
01/06/1984,0,0
01/07/1984,0.104882986,0.265595453
01/08/1984,0.001500477,-0.014716465
01/09/1984,0,0
01/10/1984,-0.079174839,-0.217685951
01/11/1984,-0.224302231,-0.518579767
01/12/1984,-0.139576994,-0.290127891
01/01/1985,0,0
01/02/1985,0.012652542,-0.055951378
01/03/1985,0.046470112,0.091840795
01/04/1985,0,0
01/05/1985,-0.109898557,-0.179204534
01/06/1985,0,0
01/07/1985,0.065944636,0.110046848
01/08/1985,0.047701831,0.089980265
01/09/1985,0,0
01/10/1985,0.036654189,0.082921107
01/11/1985,-0.003855426,-0.003256063
01/12/1985,-0.046298661,-0.08118091
01/01/1986,0,0
01/02/1986,0.010747891,-0.006013009
01/03/1986,0,0
01/04/1986,0.0090924,0.022164958
01/05/1986,0.021581154,0.06919718
01/06/1986,0,0
01/07/1986,-0.102484707,-0.25743652
01/08/1986,-0.077944686,-0.187186048
01/09/1986,0.030166637,0.063740271
01/10/1986,0,0
01/11/1986,0.020681581,0.084644455
01/12/1986,0.010760617,0.040754292
01/01/1987,0,0
01/02/1987,-0.020729426,-0.033924713
01/03/1987,0.057803017,0.136779074
01/04/1987,0,0
01/05/1987,0.054933177,0.132941288
01/06/1987,0,0
01/07/1987,-0.013097583,-0.044612869
01/08/1987,-0.000660563,-0.047048716
01/09/1987,-0.043637553,-0.111693661
01/10/1987,0,0
01/11/1987,-0.090967926,-0.132498936
01/12/1987,0.016700402,0.017299778
01/01/1988,0,0
01/02/1988,-0.026903441,-0.093321765
01/03/1988,0.062367402,0.089230935
01/04/1988,0,0
01/05/1988,0.034133141,0.074202129
01/06/1988,0.067469597,0.15596969
01/07/1988,0,0
01/08/1988,-0.038441692,-0.061147794
01/09/1988,-0.022796516,0.019517967
01/10/1988,0,0
01/11/1988,-0.02259548,-0.020889306
01/12/1988,0.155044375,0.354972703
01/01/1989,0,0
01/02/1989,0.042249353,0.120179358
01/03/1989,0.005875186,0.02981046
01/04/1989,0,0
01/05/1989,-0.01449146,0.034073348
01/06/1989,0,0
01/07/1989,-0.070728482,-0.127586668
01/08/1989,0.022015137,0.020525866
01/09/1989,0,0
01/10/1989,0.012809389,0.009325854
01/11/1989,0.035596576,0.062531102
01/12/1989,-0.061288773,-0.121449488
01/01/1990,0,0
01/02/1990,0.019625307,0.059828918
01/03/1990,0.022871986,0.02522541
01/04/1990,0,0
01/05/1990,0.011707877,0.007215757
01/06/1990,0,0
01/07/1990,-0.025867285,-0.048658048
01/08/1990,0.046257988,0.09661645
01/09/1990,0,0
01/10/1990,-0.028297044,-0.057959209
01/11/1990,0.009895955,0.068100766
01/12/1990,-0.001988431,0.018406875
01/01/1991,0,0
01/02/1991,-0.071699854,-0.159421916
01/03/1991,0.055146224,0.139397161
01/04/1991,0,0
01/05/1991,0.033350451,0.08684181
01/06/1991,0,0
01/07/1991,0.031221213,0.046830051
01/08/1991,0.02941222,0.054989013
01/09/1991,0,0
01/10/1991,0.042532157,0.087341139
01/11/1991,-0.13647994,-0.256219079
01/12/1991,-0.011437553,0.016541453
01/01/1992,0,0
01/02/1992,0.06310363,0.107223534
01/03/1992,0.035424385,0.004674635
01/04/1992,0,0
01/05/1992,0.023080643,-0.001126142
01/06/1992,0,0
01/07/1992,-0.031362375,-0.055075471
01/08/1992,-0.025239335,-0.069790249
01/09/1992,0,0
01/10/1992,-0.022681968,-0.017764504
01/11/1992,0.01556176,0.038133054
01/12/1992,-0.02156034,-0.0710823
01/01/1993,0,0
01/02/1993,-0.040977272,-0.053029388
01/03/1993,-0.027455684,-0.010814827
01/04/1993,0,0
01/05/1993,0.047590178,0.128329849
01/06/1993,0,0
01/07/1993,-0.007184886,0.006276037
01/08/1993,-0.000649069,-0.046722562
01/09/1993,-0.005136166,0.024012405
01/10/1993,0,0
01/11/1993,-0.035022319,-0.076618694
01/12/1993,-0.047579123,-0.095479358
01/01/1994,0,0
01/02/1994,0.033356871,0.091178914
01/03/1994,0.058782805,0.114899967
01/04/1994,0,0
01/05/1994,0.163341346,0.277082363
01/06/1994,0,0
01/07/1994,-0.064372168,-0.097930871
01/08/1994,0.131159992,0.270504383
01/09/1994,-0.008563171,-0.007118605
01/10/1994,0,0
01/11/1994,0.205256365,0.415625953
01/12/1994,-0.053064142,-0.093629577
01/01/1995,0,0
01/02/1995,0.124885722,0.264884433
01/03/1995,-0.002984076,0.003206409
01/04/1995,0,0
01/05/1995,0.00300697,0.034948568
01/06/1995,0,0
01/07/1995,-0.039834812,-0.040271679
01/08/1995,-0.001557933,-0.052308489
01/09/1995,-0.012440399,-0.018285635
01/10/1995,0,0
01/11/1995,-0.004829883,-0.011178537
01/12/1995,-0.082492687,-0.180639098
01/01/1996,-0.070503187,-0.126835573
01/02/1996,0,0
01/03/1996,0.015620771,0.000342032
01/04/1996,0,0
01/05/1996,-0.001898038,-0.050257401
01/06/1996,0,0
01/07/1996,-0.017837008,-0.07633693
01/08/1996,-0.022386027,-0.029619018
01/09/1996,-0.017367613,-0.027069551
01/10/1996,0,0
01/11/1996,-0.020799072,-0.036972069
01/12/1996,-0.019725885,-0.015737592
01/01/1997,0,0
01/02/1997,-0.051146037,-0.079013445
01/03/1997,0.094159212,0.100317305
01/04/1997,0,0
01/05/1997,-0.058772182,-0.074210521
01/06/1997,0,0
01/07/1997,-0.018091074,-0.046594073
01/08/1997,-0.038931553,-0.048732708
01/09/1997,-0.053216417,-0.099499542
01/10/1997,0,0
01/11/1997,-0.040491914,-0.048262258
01/12/1997,-0.000701113,0.027588001
01/01/1998,0,0
01/02/1998,0.011821277,0.012822328
01/03/1998,-0.016489109,-0.019120816
01/04/1998,0,0
01/05/1998,0.001415811,-0.041523812
01/06/1998,0,0
01/07/1998,0.018507078,0.006022942
01/08/1998,0.013495151,0.012359544
01/09/1998,-0.048551811,-0.097069343
01/10/1998,0,0
01/11/1998,-0.035893379,-0.078272941
01/12/1998,0.010563998,-0.009102805
01/01/1999,0,0
01/02/1999,-0.002935609,-0.033379571
01/03/1999,-0.035108173,-0.030065502
01/04/1999,0,0
01/05/1999,-0.050605072,-0.072518167
01/06/1999,0.058846968,0.149630959
01/07/1999,0,0
01/08/1999,0.069811109,0.180942789
01/09/1999,0,0
01/10/1999,-0.056798218,-0.102797304
01/11/1999,0.094272068,0.17448154
01/12/1999,-0.043350633,-0.064698295
01/01/2000,0,0
01/02/2000,0.038792725,0.105879098
01/03/2000,0.030913354,0.048825971
01/04/2000,0,0
01/05/2000,0.167352739,0.28998221
01/06/2000,-0.029021627,-0.088321813
01/07/2000,0,0
01/08/2000,-0.017766901,-0.033760828
01/09/2000,0,0
01/10/2000,-0.003695456,-0.067051551
01/11/2000,0.028986623,0.035594154
01/12/2000,0.053584087,0.113698135
01/01/2001,-0.07804139,-0.109603253
01/02/2001,0,0
01/03/2001,-0.071565786,-0.205488505
01/04/2001,0,0
01/05/2001,-0.077562129,-0.194291073
01/06/2001,0.012122091,-0.002588904
01/07/2001,0,0
01/08/2001,0.000935549,0.007227252
01/09/2001,0,0
01/10/2001,-0.007876269,-0.008601356
01/11/2001,-0.03870148,-0.073952853
01/12/2001,0.012108604,0.007886332
01/01/2002,0.047322547,0.11214055
01/02/2002,0,0
01/03/2002,-0.013282118,-0.051786651
01/04/2002,0,0
01/05/2002,0.015471905,0.002031029
01/06/2002,0.001093852,-0.025547423
01/07/2002,0,0
01/08/2002,0.028071634,0.056358511
01/09/2002,0.037567025,0.037693266
01/10/2002,0,0
01/11/2002,-0.13485472,-0.230951604
01/12/2002,0.035569667,0.065730108
01/01/2003,0.036372999,0.068066804
01/02/2003,0,0
01/03/2003,0.016176205,0.062969511
01/04/2003,0,0
01/05/2003,0.017242923,0.05833118
01/06/2003,-0.077462906,-0.153924831
01/07/2003,0,0
01/08/2003,0.016411598,0.056367761
01/09/2003,-0.028057428,-0.056778221
01/10/2003,-0.051097466,-0.114202984
01/11/2003,0,0
01/12/2003,-0.053488023,-0.106064893
01/01/2004,-0.049485081,-0.095144476
01/02/2004,0,0
01/03/2004,-0.048053136,-0.108862253
01/04/2004,0,0
01/05/2004,-0.064198475,-0.117924472
01/06/2004,0.004228071,-0.013265976
01/07/2004,0,0
01/08/2004,0.020647466,0.080141209
01/09/2004,0.041354679,0.152770527
01/10/2004,0,0
01/11/2004,0.055596642,0.152863087
01/12/2004,0.064928276,0.102830733
01/01/2005,0,0
01/02/2005,0.039574742,0.092499405
01/03/2005,0.032414606,0.052677418
01/04/2005,0,0
01/05/2005,0.024587117,0.054633937
01/06/2005,0.041077543,0.080184826
01/07/2005,0,0
01/08/2005,0.017286145,0.025788027
01/09/2005,0.042310472,0.10292994
01/10/2005,0,0
01/11/2005,0.026043757,0.073381922
01/12/2005,0.012793137,0.031931542
01/01/2006,0.035316506,0.063818878
01/02/2006,0,0
01/03/2006,0.003829045,0.053499876
01/04/2006,0,0
01/05/2006,0.035262133,0.093208466
01/06/2006,0.067289063,0.162907446
01/07/2006,0,0
01/08/2006,-0.019635621,-0.01387657
01/09/2006,-0.01633555,-0.031450919
01/10/2006,-0.017958733,-0.062227034
01/11/2006,0,0
01/12/2006,-0.000424504,0.005267112
01/01/2007,-0.014444996,-0.048598012
01/02/2007,0,0
01/03/2007,0.017198619,0.047802895
01/04/2007,0,0
01/05/2007,0.007401765,-0.002166973
01/06/2007,-0.010443691,-0.076096608
01/07/2007,0,0
01/08/2007,0.053181774,0.0789448
01/09/2007,-0.17092404,-0.291841359
01/10/2007,-7.48E-05,-0.029824571
01/11/2007,0,0
01/12/2007,0.009570932,-0.034925843
01/01/2008,-0.095201788,-0.261667524
01/02/2008,0,0
01/03/2008,-0.111550002,-0.255911371
01/04/2008,0.028851739,-0.013683106
01/05/2008,0,0
01/06/2008,0.047585116,0.087372489
01/07/2008,0,0
01/08/2008,0.066085312,0.192619312
01/09/2008,0.042075099,0.13016136
01/10/2008,0.000909627,0.04276161
